SampleID,Date
sample_426,2016-12-28
sample_428,2017-01-11
sample_429,2017-01-18
sample_430,2017-01-25
sample_431,2017-02-08
sample_432,2017-02-22
sample_433,2017-03-02
sample_434,2017-03-08
sample_435,2017-03-22
sample_436,2017-03-29
sample_437,2017-04-05
sample_439,2017-04-19
sample_440,2017-04-26
sample_441,2017-05-03
sample_442,2017-05-10
sample_443,2017-05-18
sample_444,2017-05-24
sample_445,2017-05-31
sample_446,2017-06-28
sample_447,2017-07-05
sample_449,2017-08-02
sample_452,2017-08-09
sample_453,2017-08-16
sample_454,2017-08-23
sample_455,2017-08-30
sample_456,2017-09-06
sample_457,2017-09-19
sample_458,2017-09-27
sample_459,2017-10-04
sample_460,2017-10-25
sample_461,2017-11-01
sample_463,2017-11-22
sample_464,2017-12-06
sample_465,2017-12-13
sample_466,2017-12-20
sample_467,2018-01-24
sample_468,2018-01-31
sample_469,2018-02-07
sample_470,2018-02-14
sample_471,2018-03-14
sample_472,2018-03-21
sample_474,2018-03-28
sample_475,2018-04-04
sample_476,2018-04-11
sample_478,2018-04-18
sample_479,2018-04-25
sample_480,2018-05-02
sample_481,2018-05-23
sample_482,2018-05-31
sample_483,2018-06-07
sample_485,2018-06-13
sample_486,2018-06-20
sample_487,2018-06-27
sample_488,2018-07-10
sample_489,2018-07-20
sample_490,2018-07-25
sample_491,2018-08-01
sample_492,2018-08-08
sample_493,2018-08-15
sample_494,2018-08-21
sample_496,2018-08-29
sample_497,2018-11-13
sample_501,2018-12-12
sample_502,2018-12-19
sample_504,2019-01-16
sample_506,2019-02-13
sample_507,2019-02-20
sample_508,2019-02-27
