Genus,Alternative names,Kingdom,Phylum,Class,Order,Family,AOB:In situ,AOB:Other,NOB:In situ,NOB:Other,Anammox:In situ,Anammox:Other,Aerobic heterotroph:In situ,Aerobic heterotroph:Other,PAO:In situ,PAO:Other,GAO:In situ,GAO:Other,Nitrite reduction:In situ,Nitrite reduction:Other,Sulfate reduction:In situ,Sulfate reduction:Other,Fermentation:In situ,Fermentation:Other,Acetogen:In situ,Acetogen:Other,Methanogen:In situ,Methanogen:Other,Short-chain fatty acids:In situ,Short-chain fatty acids:Other,Sugars:In situ,Sugars:Other,Proteins/amino acids:In situ,Proteins/amino acids:Other,Filamentous:In situ,Filamentous:Other,Hydrophobic cell surface:In situ,Hydrophobic cell surface:Other
g__Dechloromonas,Includes Bet135 sub-group,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,var,na,neg,na,pos,pos,pos,pos,na,neg,na,na,na,na,pos,pos,neg,neg,pos,pos,neg,neg,na,na
g__Dietzia,Rhodococcus spp,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,pos
g__Defluviicoccus,"*Candidatus* Monolibacter batavus, Nostocoida limicola ,Defluvicoccus",Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,pos,pos,neg,pos,neg,na,na,var,na,na,na,na,pos,pos,var,pos,pos,pos,var,neg,neg,na
g__Propioniciclava,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,na,na,neg,na,na
g__Hyphomicrobium,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,pos,pos
g__Dokdonella,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,neg
g__Ca_Competibacter,GB1,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,pos,pos,neg,pos,neg,na,var,pos,na,na,na,neg,pos,pos,neg,pos,neg,na,neg,na,na,na
g__Leucobacter,,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,pos
g__Lautropia,GZKB25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,na
g__Smithella,,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,na,na,na,na,na,na,neg,neg,na,na,na,na,na,na,na,neg,na,na,neg,neg,neg,neg,pos,pos,neg,na,na,na,neg,neg,na,na
g__Nitrosomonas,Nitrosococcus mobilis,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,pos,pos,neg,neg,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,neg,neg,na,na
g__Proteiniclasticum,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na
g__Marmoricola,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Streptococcus,*Nostocoida limicola*,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,pos,pos,na,na,na,na,neg,na,pos,pos,var,pos,var,var,na,var
g__Intestinibacter,p-55-a5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,na
g__Defluviimonas,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,neg,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Gordonia,"Gordonia amarae-like organisms (GALO),Nocardia amarae,Gordona",Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,var,na,var,na,na,na,na,na,na,na,pos,pos,var,pos,pos,neg,pos,var,pos,pos
g__Methylorosula,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
g__Ca_Accumulibacter,"Rhodocyclus-related PAO, CAP",Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,neg,na,neg,na,neg,pos,pos,pos,pos,var,pos,var,pos,var,na,neg,na,na,na,na,neg,pos,na,neg,na,var,na,neg,na,na,na
g__JGI_0001001-H03,,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Haliangium,,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,pos,na,pos,na,na,na,na,na,na,na,neg,na,na,na,var,pos,neg,neg,na,na
g__Ca_Promineofilum,"Eikelboom type 0092, Brachythrix,B45",Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ca Promineofilaceae,na,neg,na,neg,na,neg,pos,pos,neg,na,neg,na,na,pos,na,neg,pos,pos,na,neg,na,neg,neg,na,pos,pos,neg,na,pos,na,neg,na
g__Hydrogenophaga,Hydrogeniphaga,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
g__Brooklawnia,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Acidibacter,,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na
g__Geothrix,,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,pos,na,neg,na,na,na,neg,na,na
g__Thermomonas,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,var,na,na,na,neg,na,na,na,na,pos,pos,na,pos,pos,pos,neg,var,na,pos
g__Enterococcus,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,pos,na,pos,na,var,na,var
g__AAP99,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Haliscomenobacter,H. hydrossis,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,na,na,na,na,na,na,pos,pos,neg,na,neg,neg,neg,na,neg,na,neg,neg,na,na,na,na,neg,neg,pos,pos,neg,pos,pos,pos,neg,na
g__Ca_Brevefilum,A6,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,na,pos,na,na,na,na,na,na,na,na,na,na,pos,na,na,na
g__Novosphingobium,Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,neg,neg,na,pos
g__Aquabacterium,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,pos,na,var,na,var,na,na,na,na
g__Bradyrhizobium,"*Rhizobium japonicum* , *Blastobacter denitrificans* , *Rhizobium lupini* , *Agrimonas oligotrophica*",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,var
g__Ideonella,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,na,na,na
g__Ellin6067,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Iamia,,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,neg,na,na,na,neg,na,na
g__Micropruina,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,pos,pos,neg,neg,pos,pos,na,var,na,na,pos,pos,na,na,na,na,pos,pos,pos,pos,pos,pos,neg,neg,na,na
g__Tessaracoccus,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Aestuariimicrobium,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Subdoligranulum,,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,na,na,neg,na,na
g__Nocardioides,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,pos,na,pos,na,var,na,pos
g__Denitratisoma,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Sphingopyxis,Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Coprothermobacter,*Thermobacterioides proteolyticus*,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,neg,pos,pos,na,var,na,na,na,na,na,pos,pos,pos,neg,var,na,na
g__Limnohabitans,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,pos,na,neg,na,na
g__Propionivibrio,*Propionibacter pelophilus*,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,neg,na,neg,na,neg,na,var,neg,neg,pos,var,na,var,na,neg,na,var,na,neg,na,na,na,var,na,var,na,var,neg,neg,na,na
g__Ca_Sarcinithrix,Eikelboom type 0914,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,neg,na
g__Piscinibacter,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Pirellula,,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Ca_Villigracilis,"*Candidatus* Villogracilis ,SBR1029",Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,pos,na,neg,na,pos,na,na,na
g__Ottowia,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,na,na,pos,na,na,na,na
g__Gemmobacter,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Thiothrix,"Eikelboom Type 021N group I, II, III",Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,na,pos,na,neg,na,na,na,na,na,na,pos,pos,neg,pos,na,pos,pos,pos,neg,na
g__Thermovirga,,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,neg,na,neg,na,pos,na,neg,na,na
g__Neomegalonema,"Eikelboom type 021N-like,Meganema",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,neg,na,neg,na,neg,pos,pos,neg,neg,neg,na,var,neg,var,neg,neg,neg,na,na,na,neg,pos,na,pos,pos,pos,na,pos,pos,pos,na
g__Lactococcus,"*Streptococcus lactis* , *S. garvieae* , *S. plantarum* , S. raffinolactis *,* Lactobacillus xylosus *,L. hordniae*",Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,neg,na,na,pos,pos,na,na,na,na,na,na,pos,pos,na,pos,var,var,na,var
g__Phreatobacter,Rasbo,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,pos,na,neg,na,na
g__IMCC26207,*Candida* Limnosphaera aquatica,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
g__Mycobacterium,,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,pos,pos,na,na,na,var,na,pos
g__Comamonas,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,var,na,na,na,na,na,na,na,na,na,pos,na,neg,na,pos,na,na,na,na
g__Mesorhizobium,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Sphingobium,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,pos,na,pos,na,na,na,na
g__Amaricoccus,Tetracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,pos,na,neg,na,neg,na,na,na,na,na,neg,na,na,na,na,na,pos,na,pos,na,pos,neg,neg,na,na
g__Sedimentibacter,*Clostridium hydroxybenzoicum*,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,neg,na,pos,na,na,na,na,na,pos,na,neg,na,pos,na,var,na,na
g__Ca_Saccharimonas,,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,neg,na,pos,na,na,na,neg,na,neg,na,pos,na,na,neg,na,na,na
g__Sulfuritalea,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,pos,pos,pos,neg,na,na,na,na,na,na,var,pos,var,neg,pos,na,neg,neg,na,na
g__Zoogloea,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,na,na,na,na,na,na,pos,pos,na,na,na,na,pos,var,na,na,na,var,na,na,na,na,pos,pos,na,pos,na,pos,neg,na,na,var
g__Cereibacter,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,neg,na,pos,na,var,na,na,na,na
g__Afipia,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__OM27_clade,,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
g__Leptolinea,,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,na,na,na,na,na,na,na,var,na,na,na,na,na,na,na,neg,na,pos,na,neg,na,na,na,neg,na,pos,na,pos,na,pos,na,na
g__Diaphorobacter,,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,pos,na,neg,na,pos,na,na,na,na
g__Aeromicrobium,,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,na,na,na,na,na,na,na,pos,na,na,na,na,na,na,na,na,na,neg,na,na,na,na,na,na,na,pos,na,na,na,na,na,na
