ASV,Species,Genus,AOB,NOB,PAO,GAO,Filamentous
ASV691,s__Streptococcus_parasuis,g__Streptococcus,na,na,na,na,var
ASV751,s__midas_s_482,g__Ottowia,na,na,na,na,na
ASV90,s__midas_s_128,g__Leucobacter,na,na,na,na,neg
ASV253,s__midas_s_37,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV231,s__midas_s_743,g__Terrimonas,na,na,na,na,neg
ASV81,,g__midas_g_33,na,na,na,na,na
ASV120,,g__Dokdonella,na,na,na,na,neg
ASV177,s__midas_s_497,g__midas_g_497,na,na,na,na,na
ASV191,s__midas_s_461,g__midas_g_461,na,na,na,na,na
ASV263,s__midas_s_352,g__midas_g_352,na,na,na,na,na
ASV722,s__midas_s_202,g__midas_g_81,na,na,na,na,na
ASV139,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV211,s__midas_s_181,g__Nitrotoga,na,pos,na,na,na
ASV108,s__midas_s_170,g__JGI_0001001-H03,na,na,na,na,na
ASV499,s__midas_s_1464,g__Falsirhodobacter,na,na,na,na,na
ASV303,s__Hydrogenophaga_taeniospiralis,g__Hydrogenophaga,na,na,na,na,na
ASV209,,g__midas_g_171,na,na,na,na,na
ASV198,s__midas_s_849,g__midas_g_731,na,na,na,na,na
ASV60,,g__midas_g_57,na,na,na,na,na
ASV41,s__midas_s_21,g__CL500-29_marine_group,na,na,na,na,na
ASV292,s__midas_s_5535,g__midas_g_5535,na,na,na,na,na
ASV70,s__midas_s_472,g__Tetrasphaera,neg,neg,pos,neg,var
ASV218,,g__JGI_0001001-H03,na,na,na,na,na
ASV30,s__midas_s_121,g__Hyphomicrobium,na,na,na,na,neg
ASV300,,g__midas_g_344,na,na,na,na,na
ASV365,,,na,na,na,na,na
ASV262,s__midas_s_518,g__JGI_0001001-H03,na,na,na,na,na
ASV288,,,na,na,na,na,na
ASV342,s__midas_s_171,g__midas_g_171,na,na,na,na,na
ASV74,s__midas_s_67,g__midas_g_67,na,na,na,na,na
ASV69,s__midas_s_6,g__midas_g_6,na,na,na,na,na
ASV787,s__midas_s_882,g__midas_g_882,na,na,na,na,na
ASV110,s__midas_s_135,g__Lautropia,na,na,na,na,neg
ASV145,s__midas_s_348,g__Subdoligranulum,na,na,na,na,neg
ASV167,s__Thauera_terpenica,g__Thauera,na,na,neg,na,neg
ASV201,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV740,s__midas_s_924,g__Ottowia,na,na,na,na,na
ASV714,s__midas_s_2010,g__midas_g_2010,na,na,na,na,na
ASV31,s__midas_s_151,g__midas_g_100,na,na,na,na,na
ASV65,,,na,na,na,na,na
ASV666,s__midas_s_1119,g__Nannocystis,na,na,na,na,neg
ASV353,s__midas_s_1676,g__midas_g_1676,na,na,na,na,na
ASV179,,g__Acidovorax,na,na,na,na,neg
ASV387,s__midas_s_861,g__Gordonia,na,na,na,na,pos
ASV339,s__midas_s_181,g__Nitrotoga,na,pos,na,na,na
ASV150,,g__Leptothrix,na,na,na,na,var
ASV406,s__Phreatobacter_oligotrophus,g__Phreatobacter,na,na,na,na,neg
ASV598,,g__Leptothrix,na,na,na,na,var
ASV118,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV362,s__midas_s_967,g__Mesorhizobium,na,na,na,na,na
ASV47,,g__Romboutsia,na,na,na,na,neg
ASV481,s__midas_s_983,g__Sphingopyxis,na,na,na,na,neg
ASV115,,g__Terrimonas,na,na,na,na,neg
ASV188,s__midas_s_502,g__midas_g_502,na,na,na,na,na
ASV123,s__midas_s_491,g__midas_g_100,na,na,na,na,na
ASV312,s__midas_s_1678,g__Defluviimonas,na,na,na,na,neg
ASV84,s__midas_s_177,g__midas_g_65,na,na,na,na,na
ASV204,s__midas_s_499,g__midas_g_385,na,na,na,na,na
ASV147,,g__Paracoccus,na,na,neg,na,neg
ASV408,s__midas_s_1277,g__midas_g_1277,na,na,na,na,na
ASV275,s__midas_s_1034,g__Nocardioides,na,na,na,na,var
ASV159,s__midas_s_187,g__Rhodoplanes,na,na,na,na,na
ASV97,,g__Dietzia,na,na,na,na,var
ASV384,s__midas_s_547,g__midas_g_547,na,na,na,na,na
ASV538,s__midas_s_1151,g__Tessaracoccus,na,na,na,na,neg
ASV213,,g__midas_g_153,na,na,na,na,na
ASV388,,g__midas_g_534,na,na,na,na,na
ASV280,s__midas_s_2699,g__Ca_Sarcinithrix,na,na,neg,neg,pos
ASV46,s__midas_s_1560,g__midas_g_49,na,na,na,na,na
ASV301,s__midas_s_135,g__Lautropia,na,na,na,na,neg
ASV127,s__Ca_Saccharimonas_aalborgensis,g__Ca_Saccharimonas,neg,neg,neg,neg,neg
ASV36,,g__midas_g_153,na,na,na,na,na
ASV791,,g__Ramlibacter,na,na,na,na,na
ASV151,s__midas_s_4774,g__midas_g_4774,na,na,na,na,na
ASV302,s__midas_s_443,g__Geothrix,na,na,na,na,neg
ASV718,s__midas_s_742,g__midas_g_422,na,na,na,na,na
ASV425,s__midas_s_743,g__Terrimonas,na,na,na,na,neg
ASV544,s__midas_s_207,g__midas_g_207,na,na,na,na,na
ASV100,s__midas_s_56,g__midas_g_56,na,na,na,na,na
ASV226,s__midas_s_256,g__Thauera,na,na,neg,na,neg
ASV695,s__Gemmobacter_aquaticus,g__Gemmobacter,na,na,na,na,na
ASV67,s__midas_s_75,g__midas_g_75,na,na,na,na,na
ASV144,s__midas_s_68,g__midas_g_20,na,na,na,na,na
ASV206,s__midas_s_307,g__Tessaracoccus,na,na,na,na,neg
ASV57,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV269,s__midas_s_428,g__midas_g_428,na,na,na,na,na
ASV264,s__Ca_Defluviicoccus_seviourii,g__Defluviicoccus,neg,neg,neg,pos,var
ASV470,s__midas_s_181,g__Nitrotoga,na,pos,na,na,na
ASV1301,,g__Runella,na,na,na,na,na
ASV146,,g__midas_g_70,na,na,na,na,na
ASV1647,,g__midas_g_2010,na,na,na,na,na
ASV136,s__midas_s_137,g__midas_g_31,na,na,na,na,na
ASV483,s__midas_s_990,g__midas_g_990,na,na,na,na,na
ASV367,s__midas_s_555,g__midas_g_436,na,na,na,na,na
ASV627,s__midas_s_992,g__midas_g_992,na,na,na,na,na
ASV540,s__midas_s_1085,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV50,s__Gordonia_defluvii,g__Gordonia,na,na,na,na,pos
ASV402,s__midas_s_347,g__midas_g_347,na,na,na,na,na
ASV141,s__midas_s_49,g__Propionicimonas,na,na,na,na,neg
ASV286,,,na,na,na,na,na
ASV260,s__midas_s_358,g__Nocardioides,na,na,na,na,var
ASV870,s__midas_s_896,g__midas_g_896,na,na,na,na,na
ASV889,,,na,na,na,na,na
ASV153,,g__midas_g_70,na,na,na,na,na
ASV214,,g__Rhodoferax,na,na,neg,na,neg
ASV682,,g__Streptococcus,na,na,na,na,var
ASV208,s__midas_s_72,g__midas_g_72,na,na,na,na,na
ASV404,s__midas_s_188,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV157,s__midas_s_105,g__midas_g_105,na,na,na,na,na
ASV910,s__midas_s_1223,g__midas_g_1223,na,na,na,na,na
ASV723,,g__Devosia,na,na,na,na,na
ASV54,s__midas_s_102,g__Sphingorhabdus,na,na,na,na,na
ASV416,s__midas_s_284,g__Ellin6067,na,na,na,na,na
ASV221,,,na,na,na,na,na
ASV162,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV738,s__Comamonas_denitrificans,g__Comamonas,na,na,na,na,na
ASV330,s__midas_s_2943,g__midas_g_2943,na,na,na,na,na
ASV809,s__midas_s_973,g__midas_g_973,na,na,na,na,na
ASV486,,,na,na,na,na,na
ASV735,s__midas_s_217,g__Haliscomenobacter,na,na,neg,neg,pos
ASV548,s__midas_s_173,g__Dechloromonas,na,na,var,neg,neg
ASV693,s__midas_s_877,g__Devosia,na,na,na,na,na
ASV185,s__midas_s_1400,g__midas_g_1400,na,na,na,na,na
ASV421,s__midas_s_135,g__Lautropia,na,na,na,na,neg
ASV358,s__midas_s_59116,g__midas_g_41102,na,na,na,na,na
ASV505,s__midas_s_1072,g__Novosphingobium,na,na,na,na,neg
ASV106,s__midas_s_261,g__Hyphomicrobium,na,na,na,na,neg
ASV78,s__midas_s_399,g__midas_g_399,na,na,na,na,na
ASV471,s__midas_s_424,g__midas_g_424,na,na,na,na,na
ASV528,,g__Mesorhizobium,na,na,na,na,na
ASV448,s__midas_s_747,g__midas_g_436,na,na,na,na,na
ASV924,s__midas_s_1151,g__Tessaracoccus,na,na,na,na,neg
ASV428,,g__Rhodoferax,na,na,neg,na,neg
ASV247,s__midas_s_40,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV1018,s__midas_s_422,g__midas_g_422,na,na,na,na,na
ASV366,s__midas_s_11003,g__midas_g_11003,na,na,na,na,na
ASV1796,s__midas_s_3893,g__Rhodobacter,na,na,na,na,neg
ASV160,s__midas_s_33,g__Rhodoferax,na,na,neg,na,neg
ASV38,s__midas_s_57,g__midas_g_57,na,na,na,na,na
ASV148,,g__Thermomonas,na,na,na,na,neg
ASV463,s__midas_s_179,g__midas_g_179,na,na,na,na,na
ASV79,,g__midas_g_59,na,na,na,na,na
ASV197,s__midas_s_323,g__Ellin6067,na,na,na,na,na
ASV309,s__midas_s_173,g__Dechloromonas,na,na,var,neg,neg
ASV135,s__midas_s_139,g__Nitrosomonas,pos,neg,na,na,neg
ASV1191,s__midas_s_1146,g__midas_g_300,na,na,na,na,na
ASV369,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV304,s__midas_s_670,g__Sphingobium,na,na,na,na,na
ASV111,s__midas_s_53,g__Uliginosibacterium,na,na,na,na,na
ASV449,s__midas_s_543,g__midas_g_543,na,na,na,na,na
ASV550,s__midas_s_694,g__midas_g_694,na,na,na,na,na
ASV15,s__midas_s_45,g__Tetrasphaera,neg,neg,pos,neg,var
ASV513,s__midas_s_587,g__Novosphingobium,na,na,na,na,neg
ASV941,s__midas_s_217,g__Haliscomenobacter,na,na,neg,neg,pos
ASV68,s__Coprothermobacter_proteolyticus,g__Coprothermobacter,na,na,na,na,neg
ASV248,s__midas_s_433,g__midas_g_433,na,na,na,na,na
ASV270,s__midas_s_661,g__midas_g_105,na,na,na,na,na
ASV113,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV307,s__Enterococcus_aquimarinus,g__Enterococcus,na,na,na,na,var
ASV1429,s__midas_s_5967,g__Novosphingobium,na,na,na,na,neg
ASV423,,,na,na,na,na,na
ASV454,s__midas_s_2835,g__midas_g_2835,na,na,na,na,na
ASV794,s__midas_s_29,g__OLB8,na,na,na,na,na
ASV261,s__midas_s_65,g__midas_g_65,na,na,na,na,na
ASV314,,g__midas_g_57,na,na,na,na,na
ASV662,s__midas_s_1226,g__midas_g_1226,na,na,na,na,na
ASV154,,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV439,s__midas_s_627,g__midas_g_627,na,na,na,na,na
ASV134,s__midas_s_64,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV239,s__midas_s_197,g__Acidibacter,na,na,na,na,na
ASV199,s__midas_s_89,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV403,,g__Arcobacter,na,na,na,na,neg
ASV194,s__midas_s_2835,g__midas_g_2835,na,na,na,na,na
ASV466,s__midas_s_347,g__midas_g_347,na,na,na,na,na
ASV242,,,na,na,na,na,na
ASV575,,g__Nitrosomonas,pos,neg,na,na,neg
ASV122,s__midas_s_244,g__Novosphingobium,na,na,na,na,neg
ASV51,s__midas_s_299,g__Tetrasphaera,neg,neg,pos,neg,var
ASV769,,g__Leptothrix,na,na,na,na,var
ASV767,s__midas_s_1057,g__Phenylobacterium,na,na,na,na,na
ASV2121,,g__Thauera,na,na,neg,na,neg
ASV417,s__midas_s_268,g__midas_g_268,na,na,na,na,na
ASV638,s__Sulfuritalea_hydrogenivorans,g__Sulfuritalea,na,na,na,na,neg
ASV571,,,na,na,na,na,na
ASV532,,,na,na,na,na,na
ASV175,s__midas_s_120,g__midas_g_120,na,na,na,na,na
ASV479,s__midas_s_406,g__Stella,na,na,na,na,na
ASV1363,s__midas_s_2254,g__Nitrosomonas,pos,neg,na,na,neg
ASV670,s__midas_s_764,g__midas_g_764,na,na,na,na,na
ASV174,,g__Hyphomicrobium,na,na,na,na,neg
ASV844,,g__Rhodoferax,na,na,neg,na,neg
ASV207,s__midas_s_111,g__midas_g_111,na,na,na,na,na
ASV311,,g__Rhodoferax,na,na,neg,na,neg
ASV328,,g__Novosphingobium,na,na,na,na,neg
ASV509,s__midas_s_434,g__midas_g_434,na,na,na,na,na
ASV459,,g__Terrimonas,na,na,na,na,neg
ASV488,s__midas_s_868,g__midas_g_105,na,na,na,na,na
ASV592,s__midas_s_991,g__midas_g_991,na,na,na,na,na
ASV426,s__midas_s_403,g__Gordonia,na,na,na,na,pos
ASV169,,g__midas_g_534,na,na,na,na,na
ASV172,s__midas_s_192,g__midas_g_75,na,na,na,na,na
ASV98,s__midas_s_101,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV700,s__midas_s_1084,g__Novosphingobium,na,na,na,na,neg
ASV254,,g__midas_g_70,na,na,na,na,na
ASV431,s__Aeromicrobium_choanae,g__Aeromicrobium,na,na,na,na,na
ASV729,s__midas_s_1327,g__midas_g_1194,na,na,na,na,na
ASV590,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV215,s__midas_s_814,g__OM27_clade,na,na,na,na,na
ASV298,s__midas_s_83,g__Ferruginibacter,na,na,na,na,neg
ASV364,,g__midas_g_877,na,na,na,na,na
ASV616,s__midas_s_119,g__midas_g_119,na,na,na,na,na
ASV756,s__midas_s_1037,g__midas_g_57,na,na,na,na,na
ASV1032,s__midas_s_1694,g__Ideonella,na,na,na,na,na
ASV692,s__midas_s_471,g__Ca_Villigracilis,na,na,na,na,pos
ASV156,s__midas_s_140,g__Proteiniclasticum,na,na,na,na,neg
ASV1411,s__midas_s_2081,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV624,s__midas_s_543,g__midas_g_543,na,na,na,na,na
ASV451,,g__Sulfuritalea,na,na,na,na,neg
ASV381,s__midas_s_2907,g__Leptotrichia,na,na,na,na,var
ASV1165,s__midas_s_5443,g__Pseudorhodobacter,na,na,na,na,neg
ASV728,s__midas_s_1057,g__Phenylobacterium,na,na,na,na,na
ASV1394,,,na,na,na,na,na
ASV2588,s__midas_s_17497,g__midas_g_17497,na,na,na,na,na
ASV184,s__midas_s_390,g__Terrimonas,na,na,na,na,neg
ASV315,s__midas_s_142,g__midas_g_142,na,na,na,na,na
ASV299,,g__Hyphomicrobium,na,na,na,na,neg
ASV1225,s__midas_s_1775,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV133,s__midas_s_315,g__Ca_Accumulibacter,neg,neg,pos,var,neg
ASV813,s__midas_s_9223,g__Ca_Villigracilis,na,na,na,na,pos
ASV785,,,na,na,na,na,na
ASV710,s__midas_s_283,g__midas_g_283,na,na,na,na,na
ASV2003,s__midas_s_1464,g__Falsirhodobacter,na,na,na,na,na
ASV983,,g__Mesorhizobium,na,na,na,na,na
ASV383,s__midas_s_859,g__midas_g_859,na,na,na,na,na
ASV319,s__midas_s_3710,g__midas_g_1341,na,na,na,na,na
ASV401,s__midas_s_348,g__Subdoligranulum,na,na,na,na,neg
ASV395,s__midas_s_471,g__Ca_Villigracilis,na,na,na,na,pos
ASV114,s__midas_s_328,g__Tetrasphaera,neg,neg,pos,neg,var
ASV515,,,na,na,na,na,na
ASV9306,s__midas_s_67013,g__midas_g_4351,na,na,na,na,na
ASV332,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV116,s__midas_s_578,g__midas_g_399,na,na,na,na,na
ASV379,,g__Piscinibacter,na,na,na,na,na
ASV849,,,na,na,na,na,na
ASV171,s__midas_s_85,g__Lacihabitans,na,na,na,na,na
ASV458,,g__midas_g_385,na,na,na,na,na
ASV2912,s__midas_s_2620,g__midas_g_2400,na,na,na,na,na
ASV985,s__midas_s_1669,g__Devosia,na,na,na,na,na
ASV2770,s__midas_s_1724,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV132,s__midas_s_391,g__midas_g_391,na,na,na,na,na
ASV279,s__midas_s_290,g__Iamia,na,na,na,na,neg
ASV660,s__midas_s_2832,g__midas_g_1422,na,na,na,na,na
ASV437,s__midas_s_380,g__midas_g_380,na,na,na,na,na
ASV415,s__midas_s_597,g__midas_g_225,na,na,na,na,na
ASV921,s__midas_s_830,g__midas_g_724,na,na,na,na,na
ASV858,,g__Dechloromonas,na,na,var,neg,neg
ASV375,,g__Leptothrix,na,na,na,na,var
ASV1011,,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV708,s__midas_s_243,g__midas_g_169,na,na,na,na,na
ASV1257,,g__midas_g_433,na,na,na,na,na
ASV393,,g__midas_g_52,na,na,na,na,na
ASV1548,s__midas_s_973,g__midas_g_973,na,na,na,na,na
ASV119,s__Turicibacter_sanguinis,g__Turicibacter,na,na,na,na,pos
ASV1100,s__midas_s_830,g__midas_g_724,na,na,na,na,na
ASV1693,s__midas_s_864,g__midas_g_534,na,na,na,na,na
ASV131,,g__Ca_Amarolinea,na,na,neg,na,pos
ASV71,s__midas_s_144,g__Stenotrophobacter,na,na,na,na,na
ASV1035,s__midas_s_320,g__Rhodoferax,na,na,neg,na,neg
ASV271,s__midas_s_609,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV235,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV1229,s__midas_s_742,g__midas_g_422,na,na,na,na,na
ASV210,,g__Hyphomicrobium,na,na,na,na,neg
ASV825,s__midas_s_317,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV784,,g__Devosia,na,na,na,na,na
ASV703,s__Mycobacterium_fallax,g__Mycobacterium,na,na,na,na,var
ASV859,s__midas_s_1422,g__midas_g_1422,na,na,na,na,na
ASV352,s__midas_s_300,g__midas_g_300,na,na,na,na,na
ASV92,s__midas_s_98,g__midas_g_98,na,na,na,na,na
ASV392,,g__Thiothrix,na,na,na,na,pos
ASV3810,,,na,na,na,na,na
ASV2155,s__Brachymonas_denitrificans,g__Brachymonas,na,na,na,na,na
ASV1043,s__midas_s_929,g__midas_g_764,na,na,na,na,na
ASV965,s__midas_s_3710,g__midas_g_1341,na,na,na,na,na
ASV243,s__midas_s_64,g__Clostridium_sensu_stricto_1,na,na,na,na,var
ASV640,s__midas_s_1820,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV828,s__midas_s_4,g__Trichococcus,na,na,na,na,var
ASV669,s__midas_s_363,g__midas_g_363,na,na,na,na,na
ASV1880,s__midas_s_150,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV561,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV334,s__midas_s_628,g__Mycobacterium,na,na,na,na,var
ASV107,,g__Defluviimonas,na,na,na,na,neg
ASV443,,g__midas_g_746,na,na,na,na,na
ASV1582,s__midas_s_2313,g__midas_g_225,na,na,na,na,na
ASV359,s__midas_s_172,g__Haliangium,na,na,na,na,neg
ASV378,s__midas_s_248,g__Aquabacterium,na,na,na,na,na
ASV467,s__midas_s_454,g__midas_g_454,na,na,na,na,na
ASV461,s__midas_s_103,g__Ca_Epiflobacter,na,na,neg,neg,neg
ASV904,s__midas_s_1657,g__midas_g_1363,na,na,na,na,na
ASV1089,s__Haliscomenobacter_hydrossis,g__Haliscomenobacter,na,na,neg,neg,pos
ASV236,s__midas_s_5,g__Tetrasphaera,neg,neg,pos,neg,var
ASV1276,s__midas_s_482,g__Ottowia,na,na,na,na,na
ASV1610,s__midas_s_6539,g__midas_g_731,na,na,na,na,na
ASV228,,g__Mesorhizobium,na,na,na,na,na
ASV1013,s__midas_s_8429,g__midas_g_8429,na,na,na,na,na
ASV1680,s__Haliscomenobacter_hydrossis,g__Haliscomenobacter,na,na,neg,neg,pos
ASV929,s__midas_s_1919,g__midas_g_1919,na,na,na,na,na
ASV2391,,g__Mesorhizobium,na,na,na,na,na
ASV40,s__midas_s_100,g__midas_g_100,na,na,na,na,na
ASV2705,s__midas_s_4442,g__Novosphingobium,na,na,na,na,neg
ASV1949,s__midas_s_2566,g__midas_g_433,na,na,na,na,na
ASV1406,s__midas_s_1393,g__Ca_Obscuribacter,na,na,pos,na,na
ASV202,s__midas_s_4035,g__Actinomyces,na,na,na,na,var
ASV44,s__midas_s_52,g__midas_g_52,na,na,na,na,na
ASV893,,g__Devosia,na,na,na,na,na
ASV2975,s__midas_s_4209,g__Phaselicystis,na,na,na,na,na
ASV643,,g__Rhodoferax,na,na,neg,na,neg
ASV823,s__midas_s_706,g__midas_g_169,na,na,na,na,na
ASV726,,g__Simplicispira,na,na,na,na,neg
ASV797,s__midas_s_4843,g__midas_g_4042,na,na,na,na,na
ASV879,s__midas_s_823,g__Paracoccus,na,na,neg,na,neg
ASV1314,s__midas_s_1226,g__midas_g_1226,na,na,na,na,na
ASV212,,g__Romboutsia,na,na,na,na,neg
ASV583,,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV429,s__midas_s_241,g__Ruminococcus,na,na,na,na,na
ASV420,s__midas_s_1744,g__Rhodoferax,na,na,neg,na,neg
ASV1738,s__midas_s_973,g__midas_g_973,na,na,na,na,na
ASV3048,s__midas_s_1228,g__OLB8,na,na,na,na,na
ASV244,,g__Romboutsia,na,na,na,na,neg
ASV864,s__midas_s_1880,g__midas_g_731,na,na,na,na,na
ASV1078,s__Haliscomenobacter_hydrossis,g__Haliscomenobacter,na,na,neg,neg,pos
ASV704,,g__Thiothrix,na,na,na,na,pos
ASV249,s__midas_s_572,g__midas_g_49,na,na,na,na,na
ASV1033,s__midas_s_1084,g__Novosphingobium,na,na,na,na,neg
ASV182,s__Ca_Competibacter_denitrificans,g__Ca_Competibacter,neg,neg,neg,pos,neg
ASV3312,s__midas_s_7986,g__Lacihabitans,na,na,na,na,na
ASV1398,,,na,na,na,na,na
ASV414,,g__Paracoccus,na,na,neg,na,neg
ASV474,,g__midas_g_729,na,na,na,na,na
ASV1804,s__midas_s_1195,g__midas_g_1195,na,na,na,na,na
ASV516,s__midas_s_441,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV1401,s__midas_s_1252,g__Gemmatimonas,na,na,na,na,na
ASV163,s__midas_s_343,g__midas_g_343,na,na,na,na,na
ASV1519,s__midas_s_1382,g__midas_g_424,na,na,na,na,na
ASV1516,s__midas_s_742,g__midas_g_422,na,na,na,na,na
ASV2129,s__midas_s_938,g__Nannocystis,na,na,na,na,neg
ASV283,s__midas_s_1303,g__Pedomicrobium,na,na,na,na,neg
ASV427,,g__Ca_Villigracilis,na,na,na,na,pos
ASV507,s__midas_s_2907,g__Leptotrichia,na,na,na,na,var
ASV883,s__Ca_Promineofilum_breve,g__Ca_Promineofilum,neg,neg,neg,neg,pos
ASV648,s__midas_s_750,g__Lautropia,na,na,na,na,neg
ASV1154,s__midas_s_3181,g__midas_g_3181,na,na,na,na,na
newASV6,,g__Terrimonas,na,na,na,na,neg
ASV886,,g__Ahniella,na,na,na,na,na
ASV651,s__Sulfuritalea_hydrogenivorans,g__Sulfuritalea,na,na,na,na,neg
ASV1595,,g__Cloacibacterium,na,na,na,na,var
ASV1318,s__midas_s_1996,g__midas_g_1334,na,na,na,na,na
